State,LOANS,RBATE,TAX,Exem,Grant,Other,Laws and Regulations,Charging Station,population,recency_2y,recency_3y,chargers_per_100k,total_incentives,total_policies,policy_score,weighted_policy_score,weighted_policy_score_2y,diesel_2024,ev_2024,gas_2024,hev_2024,phev_2024,diesel_2016,ev_2016,gas_2016,hev_2016,phev_2016,total_vehicles_2024,ev_market_share,phev_market_share,hev_market_share,electrification_rate,ev_growth_rate,phev_growth_rate,hev_growth_rate,policy_norm,infra_norm,adoption_norm,policy_norm_2y,gap_score_2y,gap_score,category,Gap_Cluster
NM,6,0,7,2,47,2,28,498,1835299,0.526597045,0.65291342,27.13,64,92,0.6957,0.4542,0.3664,88200,13000,1592600,50500,5800,88400,500,1375900,20800,600,1750100,0.0074,0.0033,0.0289,0.0107,26,9.67,2.43,0.5624,0.2054,0.1459,0.5551,0.2038,0.2111,Underserved,4
NV,6,0,5,3,47,2,29,682,2665991,0.429969472,0.570599474,25.58,63,92,0.6848,0.3907,0.2944,86100,65600,2187600,81600,13400,83000,2000,1923600,30700,1400,2434300,0.0269,0.0055,0.0335,0.0325,32.8,9.57,2.66,0.2973,0.1884,0.5643,0.2906,-0.4621,-0.4554,Over-built,1
NY,6,4,6,3,48,3,36,5500,17389098,0.467791923,0.603491118,31.63,70,106,0.6604,0.3985,0.3089,148000,168100,9824900,361000,111400,191300,6100,10013300,166500,12100,10613400,0.0158,0.0105,0.034,0.0263,27.56,9.21,2.17,0.3299,0.2548,0.4453,0.3439,-0.3562,-0.3702,Over-built,1
OH,6,0,5,3,47,2,23,2095,10267005,0.639464682,0.742879757,20.41,63,86,0.7326,0.5442,0.4685,195500,69400,8894800,233900,29700,209700,2600,8740000,91900,4400,9423300,0.0074,0.0032,0.0248,0.0105,26.69,6.75,2.55,0.9382,0.1318,0.142,0.9302,0.6564,0.6644,Underserved,2
OK,6,1,6,3,47,2,30,451,3351307,0.418714755,0.560626976,13.46,65,95,0.6842,0.3836,0.2865,146500,22600,3506700,73000,34300,171700,600,3277300,24800,700,3783100,0.006,0.0091,0.0193,0.015,37.67,49,2.94,0.2676,0.0556,0.2284,0.2616,-0.0224,-0.0164,Over-built,3
OR,7,2,5,2,48,2,38,1744,3490805,0.559510673,0.679764012,49.96,66,104,0.6346,0.4314,0.3551,216000,78400,3059000,171400,33200,220300,7700,3077900,83300,4300,3558000,0.022,0.0093,0.0482,0.0314,10.18,7.72,2.06,0.4672,0.4557,0.5432,0.5136,-0.4853,-0.5317,Over-built,1
PA,6,1,5,2,50,2,24,2112,11335611,0.664789562,0.762309111,18.63,66,90,0.7333,0.559,0.4875,191400,89900,8866100,288100,47600,223100,3200,8767400,103200,5400,9483100,0.0095,0.005,0.0304,0.0145,28.09,8.81,2.79,1,0.1123,0.2188,1,0.6689,0.6689,Underserved,2
RI,6,2,5,2,47,2,32,370,919253,0.50653655,0.63627229,40.25,64,96,0.6667,0.4242,0.3377,10800,8300,771500,25300,6000,14000,300,778200,11000,600,821900,0.0101,0.0073,0.0308,0.0174,27.67,10,2.3,0.4372,0.3493,0.2745,0.4497,-0.1741,-0.1866,Over-built,3
SC,8,0,5,1,48,2,27,734,4212689,0.334197915,0.482598867,17.42,64,91,0.7033,0.3394,0.235,111400,26800,4372500,99100,11100,102900,800,3814700,39300,1200,4620900,0.0058,0.0024,0.0214,0.0082,33.5,9.25,2.52,0.0831,0.099,0.0979,0.0724,-0.1245,-0.1138,Over-built,3
SD,6,0,5,1,47,2,21,120,780761,0.308051165,0.457158939,15.37,61,82,0.7439,0.3401,0.2292,54600,2300,765600,14700,1700,56200,100,667200,5300,200,838900,0.0027,0.002,0.0175,0.0048,23,8.5,2.77,0.086,0.0765,0.0326,0.0511,-0.058,-0.0231,Over-built,3
TN,6,0,5,1,47,2,21,1243,5819458,0.61046067,0.720307799,21.36,61,82,0.7439,0.5358,0.4541,162000,42600,5652900,131600,12800,137900,2600,4772600,48400,1700,6001900,0.0071,0.0021,0.0219,0.0092,16.38,7.53,2.72,0.9031,0.1422,0.1171,0.8773,0.618,0.6438,Underserved,2
TX,6,1,5,3,52,2,26,4083,24957855,0.418714755,0.560626976,16.36,69,95,0.7263,0.4072,0.3041,773300,294700,21601400,538900,64700,961200,11900,18245400,205800,8000,23273000,0.0127,0.0028,0.0232,0.0154,24.76,8.09,2.62,0.3662,0.0874,0.2361,0.3262,0.0027,0.0427,Underserved,4
UT,6,1,6,4,47,2,27,1051,2772995,0.656031229,0.755618222,37.9,66,93,0.7097,0.5363,0.4656,161300,52200,2529000,96000,15500,150800,2500,2072100,32700,1700,2854000,0.0183,0.0054,0.0336,0.0237,20.88,9.12,2.94,0.9052,0.3235,0.3954,0.9195,0.2006,0.1863,Underserved,4
VA,7,0,5,3,48,3,40,2035,7525030,0.503665675,0.63387284,27.04,66,106,0.6226,0.3946,0.3136,152500,107400,6707000,262000,32100,168900,3100,6554200,126700,4200,7261000,0.0148,0.0044,0.0361,0.0192,34.65,7.64,2.07,0.3136,0.2045,0.309,0.3611,-0.1524,-0.1999,Over-built,3
VT,7,1,5,1,54,2,34,564,566197,0.613358964,0.722579283,99.61,70,104,0.6731,0.4864,0.4129,14300,10200,486200,22200,6900,20200,300,521600,11600,1200,539800,0.0189,0.0128,0.0411,0.0317,34,5.75,1.91,0.6969,1,0.5489,0.7259,-0.823,-0.852,Over-built,1
WA,6,1,6,4,53,3,47,2981,6670887,0.647388284,0.74898606,44.69,73,120,0.6083,0.4556,0.3938,272100,191400,5528500,336500,48500,272100,14900,5329200,143400,6400,6377000,0.03,0.0076,0.0528,0.0376,12.85,7.58,2.35,0.5683,0.3979,0.6622,0.6558,-0.4043,-0.4918,Over-built,1
WI,6,0,7,2,49,2,28,879,5272072,0.595044901,0.708164609,16.67,66,94,0.7021,0.4972,0.4178,147300,32300,4621700,141200,15100,154400,2600,4500500,61700,2600,4957600,0.0065,0.003,0.0285,0.0096,12.42,5.81,2.29,0.742,0.0908,0.1248,0.7439,0.5283,0.5264,Underserved,2
WV,6,0,5,1,46,2,24,216,1511664,0.409302626,0.552217959,14.29,60,84,0.7143,0.3944,0.2924,46500,3800,1285900,26600,2200,52000,100,1286500,9200,300,1365000,0.0028,0.0016,0.0195,0.0044,38,7.33,2.89,0.3127,0.0647,0.025,0.2832,0.1935,0.223,Underserved,4
WY,6,0,5,1,46,2,22,133,535891,0.311868224,0.460916681,24.82,60,82,0.7317,0.3373,0.2282,61300,1500,498300,9800,1000,69900,100,448600,3800,100,571900,0.0026,0.0017,0.0171,0.0044,15,10,2.58,0.0743,0.1801,0.025,0.0474,-0.1577,-0.1308,Over-built,3
